station,moment,variable,valeur
03006,2016-01-05 00:20:00.000000,O3,19.9255
03006,2016-01-05 00:20:00.000000,PM25,15
03006,2016-01-05 00:21:00.000000,CO,0.2464
03006,2016-01-05 00:21:00.000000,NO2,8.8378
03006,2016-01-05 00:21:00.000000,O3,22.3172
03006,2016-01-05 00:21:00.000000,PM25,17
03006,2016-01-05 00:22:00.000000,CO,0.2522
03006,2016-01-05 00:22:00.000000,NO2,7.0265
03006,2016-01-05 00:22:00.000000,O3,23.6897
03006,2016-01-05 00:22:00.000000,PM25,16
03006,2016-01-05 00:23:00.000000,CO,0.3066
03006,2016-01-05 00:23:00.000000,NO2,13.0607
03006,2016-01-05 00:23:00.000000,O3,17.8812
03006,2016-01-05 00:23:00.000000,PM25,19
03006,2016-01-06 00:00:00.000000,CO,0.2913
03006,2016-01-06 00:00:00.000000,NO2,8.2595
03006,2016-01-06 00:00:00.000000,O3,22.1013
03006,2016-01-06 00:00:00.000000,PM25,16
03006,2016-01-06 00:01:00.000000,CO,0.2521
03006,2016-01-06 00:01:00.000000,NO2,7.965
03006,2016-01-06 00:01:00.000000,O3,22.4862
03006,2016-01-06 00:01:00.000000,PM25,15
03006,2016-01-06 00:02:00.000000,NO2,11.353
03006,2016-01-06 00:02:00.000000,O3,19.0321
03006,2016-01-06 00:02:00.000000,PM25,12
03006,2016-01-06 00:03:00.000000,CO,0.2677
03006,2016-01-06 00:03:00.000000,NO2,6.9506
03006,2016-01-06 00:03:00.000000,O3,23.0966
03006,2016-01-06 00:03:00.000000,PM25,16
03006,2016-01-06 00:04:00.000000,CO,0.245
03006,2016-01-06 00:04:00.000000,NO2,7.7886
03006,2016-01-06 00:04:00.000000,O3,21.3562
03006,2016-01-06 00:04:00.000000,PM25,15
03006,2016-01-06 00:05:00.000000,CO,0.304
03006,2016-01-06 00:05:00.000000,NO2,7.8907
03006,2016-01-06 00:05:00.000000,O3,20.3008
03006,2016-01-06 00:05:00.000000,PM25,14
03006,2016-01-06 00:06:00.000000,CO,0.283
03006,2016-01-06 00:06:00.000000,NO2,9.077
03006,2016-01-06 00:06:00.000000,O3,18.8328
03006,2016-01-06 00:06:00.000000,PM25,15
03006,2016-01-06 00:07:00.000000,CO,0.3049
03006,2016-01-06 00:07:00.000000,NO2,14.7877
03006,2016-01-06 00:07:00.000000,O3,13.7228
03006,2016-01-06 00:07:00.000000,PM25,14
